BillID,KnessetNum,Name,PublicationDate,MagazineNumber,PageNumber,budget_publication,num_pages,num_pages_comment
148851,2,"חוק אומדן הכנסות המדינה לשנת 1953/54, התשי""ג-1953",1953-04-07 00:00:00,1,2,1,2,
148858,2,"חוק התקציב (מס' 2) לשנת 1952/53, התשי""ג-1953",1953-04-07 00:00:00,1,4,1,10,
148853,2,"חוק תקציב הפיתוח (אפריל-מאי 1953), התשי""ג-1953",1953-04-07 00:00:00,1,14,1,1,
148855,2,"חוק תקציב (אפריל-יוני 1953), התשי""ג-1953",1953-04-07 00:00:00,1,15,1,7,
148850,2,"חוק תקציב ההוצאות לשנת 1953/54, התשי""ג-1953",1953-09-18 00:00:00,1,22,1,1,"page number restarted, might be more pages"
148856,2,"חוק התקציב (יולי-אוגוסט), התשי""ג-1953",1953-07-10 00:00:00,2,18,1,2,
148857,2,"חוק תקציב הפיתוח (יוני-יולי 1953), התשי""ג-1953",1953-08-07 00:00:00,3,20,1,1,"missing magazine, might be more pages"
148854,2,"חוק תקציב הפיתוח לשנת 1953/54, התשי""ג-1953",1953-09-25 00:00:00,5,70,1,10,
148849,2,"חוק התקציב (מס' 2) לשנת 1953/54, התשי""ד-1954",1954-04-30 00:00:00,6,80,1,1,"page number restarted, might be more pages"
148847,2,"חוק התקציב לשנת 1954/55, התשי""ד-1954",1954-04-30 00:00:00,7,2,1,98,
148846,2,"חוק התקציב לשנת 1954/55 (תיקון), התשי""ד-1954",1954-10-06 00:00:00,8,100,1,20,
148852,2,"חוק תקציב הפיתוח (מס' 2) לשנת 1953/54, התשט""ו-1954",1954-12-23 00:00:00,9,120,1,4,
148848,2,"חוק התקציב לשנת 1954/55 (מס' 2) התשט""ו-1955",1955-04-29 00:00:00,10,124,1,1,
148844,2,"חוק התקציב לשנת 1954/55 (מס' 3), התשט""ו-1955",1955-04-29 00:00:00,10,125,1,1,"page number restarted, might be more pages"
148845,2,"חוק התקציב לשנת 1955/56, התשט""ו-1955",1955-05-31 00:00:00,11,2,1,122,
148843,3,"חוק התקציב (מס' 2) לשנת 1955/56, התשט""ז-1955",1956-02-07 00:00:00,12,124,1,2,
148841,3,"חוק התקציב (מס' 3) לשנת 1955/56, התשט""ז-1955",1956-03-25 00:00:00,13,126,1,19,
148842,3,"חוק התקציב (מס' 4) לשנת 1955/56, התשט""ז-1956",1956-03-25 00:00:00,13,145,1,1,"page number restarted, might be more pages"
148840,3,"חוק התקציב לשנת 1956/57, התשט""ז-1956",1956-05-18 00:00:00,14,2,1,128,
148839,3,"חוק התקציב לשנת 1956/57 (מס' 2), התשט""ז-1956",1956-05-31 00:00:00,15,130,1,2,
148838,3,"חוק התקציב לשנת 1956/57 (מס' 3), התשי""ז-1957",1957-05-05 00:00:00,16,132,1,1,"page number restarted, might be more pages"
148835,3,"חוק תקציב הביניים לשנת 1957/58, התשי""ז-1957",1957-04-07 00:00:00,17,2,1,2,
148837,3,"חוק התקציב לשנת 1957/58, התשי""ז-1957",1957-06-10 00:00:00,18,4,1,150,
148836,3,"חוק תקציב רשות הפיתוח לשנת 1957/58, התשי""ז-1957",1957-09-05 00:00:00,19,154,1,1,"page number restarted, might be more pages"
148834,3,"חוק התקציב (מס' 2) לשנת 1957/58, התשי""ח-1957",1958-02-20 00:00:00,20,146,1,14,
148833,3,"חוק התקציב (מס' 3) לשנת 1957/58, התשי""ח-1958",1958-03-11 00:00:00,21,160,1,1,"page number restarted, might be more pages"
148832,3,"חוק התקציב לשנת 1958/59, התשי""ח-1958",1958-05-29 00:00:00,22,2,1,146,
148831,3,"חוק התקציב (מס' 2), לשנת 1958/59, התשי""ט-1959",1959-02-25 00:00:00,23,148,1,1,"page number restarted, might be more pages"
148830,3,"חוק התקציב לשנת 1959/60, התשי""ט-1959",1959-05-31 00:00:00,24,2,1,204,
148829,4,"חוק התקציב 1959/60 (תיקון), התש""ך-1960",1960-02-19 00:00:00,25,206,1,1,"page number restarted, might be more pages"
148827,4,"חוק התקציב (אפריל-יוני 1960), התש""ך-1960",1960-04-06 00:00:00,26,2,1,1,"missing magazine, might be more pages"
148828,4,"חוק התקציב לשנת 1960/61, התש""ך-1960",1960-08-10 00:00:00,28,209,1,1,"page number restarted, might be more pages"
148826,4,"חוק התקציב לשנת 1961/62, התשכ""א-1961",1961-05-29 00:00:00,29,3,1,217,
148825,5,"חוק התקציב (מס' 2) לשנת 1961/62, התשכ""ב-1962",1962-03-05 00:00:00,30,220,1,1,"page number restarted, might be more pages"
148823,5,"חוק התקציב אדר ב' - תמוז תשכ""ב (אפריל-יולי 1962), התשכ""ב-1962",1962-04-05 00:00:00,31,2,1,1,
148824,5,"חוק התקציב (מס' 3) לשנת 1961/62, התשכ""ב-1962",1962-04-05 00:00:00,31,3,1,3,
148821,5,"חוק התקציב אדר ב' - תמוז תשכ""ב (אפריל-יולי 1962) (תיקון), התשכ""ב-1962",1962-04-17 00:00:00,32,6,1,1,"missing magazine, might be more pages"
148822,5,"חוק התקציב לשנת 1962/63, התשכ""ב-1962",1962-09-11 00:00:00,34,229,1,221,
148820,5,"חוק התקציב לשנת 1962/63 (תיקון), התשכ""ג-1962",1962-12-06 00:00:00,35,450,1,1,"page number restarted, might be more pages"
148819,5,"חוק התקציב לשנת 1963/64, התשכ""ג-1963",1963-04-30 00:00:00,36,3,1,241,
148818,5,"חוק התקציב (מס' 2) לשנת 1963/64, התשכ""ד-1963",1963-12-30 00:00:00,37,244,1,1,"page number restarted, might be more pages"
148816,5,"חוק התקציב לשנת 1964/65, התשכ""ד-1964",1964-04-30 00:00:00,38,3,1,271,
148817,5,"חוק התקציב (מס' 2) לשנת הכספים 1964/65, התשכ""ה-1964",1964-12-16 00:00:00,39,274,1,1,"page number restarted, might be more pages"
148815,5,"חוק התקציב לשנת 1965/66, התשכ""ה-1965",1965-05-28 00:00:00,40,3,1,1,"page number restarted, might be more pages"
148814,6,"חוק התקציב לשנת 1966/67, התשכ""ו-1966",1966-05-27 00:00:00,41,3,1,1,"page number restarted, might be more pages"
148812,6,"חוק התקציב לשנת 1967/68, התשכ""ז-1967",1967-05-25 00:00:00,42,3,1,291,
