bill_id,knesset_num,sub_type,status,ancestor_first_plenum_discussion,presented_to_plenum,merged_first_call,from_presented_to_first_call,from_presented_to_first_call_without_pagra,merged_last_call,from_last_call_to_first_relevant_committee_discussion,from_last_call_to_first_relevant_committee_discussion_without_pagra,from_first_relevant_committee_discussions_to_last,from_first_relevant_committee_discussions_to_last_without_pagra,from_presented_to_plenum_to_publication,from_presented_to_plenum_to_publication_without_pagra,from_first_plenum_discussion_to_publication,from_first_plenum_discussion_to_publication_without_pagra,publication_date,dates_comments
5,1,ממשלתית,התקבלה בקריאה שלישית,1949-05-24,1949-05-24,1949-05-24,0,0,1949-05-24,,,,,14,14,14,14,1949-06-07,"used last preliminary call as presented to plenum, used presented to plenum as first call, used first call as last call"
146860,1,ממשלתית,התקבלה בקריאה שלישית,1951-02-26,,,,,,,,,,,,10,10,1951-03-08,"failed to find presented to plenum, failed to find first call, failed to find last call"
146884,1,ממשלתית,התקבלה בקריאה שלישית,1949-11-28,1949-11-28,1949-11-28,0,0,1949-11-28,,,,,22,22,22,22,1949-12-20,"used last preliminary call as presented to plenum, used presented to plenum as first call, used first call as last call"
146891,1,ממשלתית,התקבלה בקריאה שלישית,1951-02-05,,,,,,,,,,,,10,10,1951-02-15,"failed to find presented to plenum, failed to find first call, failed to find last call"
146900,1,ממשלתית,התקבלה בקריאה שלישית,1951-01-08,1951-01-08,1951-01-08,0,0,1951-01-08,,,,,4,4,4,4,1951-01-12,"used last preliminary call as presented to plenum, used presented to plenum as first call, used first call as last call"
146907,1,ממשלתית,התקבלה בקריאה שלישית,1949-12-05,1949-12-05,1949-12-05,0,0,1949-12-05,,,,,15,15,15,15,1949-12-20,"used last preliminary call as presented to plenum, used presented to plenum as first call, used first call as last call"
147000,1,ממשלתית,התקבלה בקריאה שלישית,1951-04-12,,,,,,,,,,,,7,0,1951-04-19,"failed to find presented to plenum, failed to find first call, failed to find last call"
147001,1,ממשלתית,התקבלה בקריאה שלישית,1951-06-06,1951-06-06,1951-06-06,0,0,1951-06-06,,,,,22,22,22,22,1951-06-28,"used last preliminary call as presented to plenum, used presented to plenum as first call, used first call as last call"
147003,1,ממשלתית,התקבלה בקריאה שלישית,1951-06-05,1951-06-05,1951-06-05,0,0,1951-06-05,,,,,8,8,8,8,1951-06-13,"used last preliminary call as presented to plenum, used presented to plenum as first call, used first call as last call"
147004,1,ממשלתית,התקבלה בקריאה שלישית,1951-04-04,1951-04-04,1951-04-04,0,0,1951-04-04,,,,,15,8,15,8,1951-04-19,"used last preliminary call as presented to plenum, used presented to plenum as first call, used first call as last call"
147005,1,ממשלתית,התקבלה בקריאה שלישית,1951-06-19,1951-06-19,1951-06-19,0,0,1951-06-19,,,,,9,9,9,9,1951-06-28,"used last preliminary call as presented to plenum, used presented to plenum as first call, used first call as last call"
147006,1,ממשלתית,התקבלה בקריאה שלישית,1951-07-02,1951-07-02,1951-07-02,0,0,1951-07-02,,,,,9,1,9,1,1951-07-11,"used last preliminary call as presented to plenum, used presented to plenum as first call, used first call as last call"
147080,1,ממשלתית,התקבלה בקריאה שלישית,1949-06-07,1949-06-07,1949-06-07,0,0,1949-06-07,,,,,24,24,24,24,1949-07-01,"used last preliminary call as presented to plenum, used presented to plenum as first call, used first call as last call"
147134,1,ממשלתית,התקבלה בקריאה שלישית,1950-07-10,1950-07-10,1950-07-10,0,0,1950-07-10,,,,,22,22,22,22,1950-08-01,"used last preliminary call as presented to plenum, used presented to plenum as first call, used first call as last call"
