מזהה ייחודי של הצעות חוק,מספר הכנסת,שם החוק שהתקבל,המשרד היוזם לפי התזכיר,קוד הועדה שדנה בהצעת החוק,שם הועדה,השרים הממונים,סיווג - חוקי הסדרים,סיווג - תקציב,מספר מ’ של הצעת החוק,תאריך פרסום החוק בספר החוקים,מספר חוברת,מספר עמוד,מספר עמודי חקיקה,מספר עמודי חקיקה - הערות,דיון ראשון במליאה,הונחה על שולחן הכנסת לקריאה ראשונה,כמה זמן חלף בין הגשת הצעת החוק ועד הקריאה הראשונה,כמה זמן חלף בין הגשת הצעת החוק ועד הקריאה הראשונה - לא כולל פגרות,כמה זמן חלף בין ההצבעה הראשונה שהתקבלה ועד תחילת הדיון בה בוועדה הרלוונטית,כמה זמן חלף בין ההצבעה הראשונה שהתקבלה ועד תחילת הדיון בה בוועדה הרלוונטית - לא כולל פגרות,כמה זמן חלף בין תחילת הדיון בוועדה ועד לסיום הכנת החוק לקריאה שנייה ושלישית,כמה זמן חלף בין תחילת הדיון בוועדה ועד לסיום הכנת החוק לקריאה שנייה ושלישית - לא כולל פגרות,כמה זמן חלף מהגשת הצעת החוק ועד לאישור החוק,כמה זמן חלף מהגשת הצעת החוק ועד לאישור החוק - לא כולל פגרות,כמה זמן חלף מהדיון הראשון במליאה ועד לאישור החוק,כמה זמן חלף מהדיון הראשון במליאה ועד לאישור החוק - לא כולל פגרות
2011157,20,"חוק הפיקוח על שירותים פיננסיים (קופות גמל) (תיקון מס' 21), התשע""ח-2018",,922,ועדת הכספים,האוצר,False,False,1083,2018-07-08,2730,730,2,,2015-05-11,2015-07-01,0,0,517,349,27,27,1103,732,1154,783
2066389,20,"חוק שיפוט בתי דין רבניים (נישואין וגירושין) (תיקון מס' 4 והוראת שעה), התשע""ח-2018",,932,"ועדת החוקה, חוק ומשפט",לשירותי דת,False,False,1207,2018-07-01,2729,722,8,,2018-02-28,2018-02-28,5,5,64,22,42,42,123,81,123,81
2021843,20,"חוק רישוי שירותים ומקצועות בענף הרכב (תיקון מס' 3), התשע""ח-2018",,926,ועדת הכלכלה,התחבורה והבטיחות בדרכים ,False,False,1157,2018-06-21,2725,700,6,,2017-10-23,2017-10-23,14,14,29,29,182,140,241,199,241,199
2066201,20,"חוק המועצה לענף הלול (ייצור ושיווק) (תיקון מס' 17), התשע""ח-2018",,926,ועדת הכלכלה,החקלאות ופיתוח הכפר,False,False,1205,2018-06-17,2724,696,2,,2018-02-26,2018-02-26,9,9,89,47,1,1,111,69,111,69
2066456,20,"חוק המרכז לגביית קנסות, אגרות והוצאות (תיקון מס' 19 והוראת שעה), התשע""ח-2018 ",,932,"ועדת החוקה, חוק ומשפט",המשפטים,False,False,1209,2018-06-06,2722,684,5,,2017-07-26,2018-02-28,6,6,70,28,6,6,98,56,315,189
2066822,20,"חוק שחרור על-תנאי ממאסר (תיקון מס' 16), התשע""ח-2018 ",,932,"ועדת החוקה, חוק ומשפט",המשפטים,False,False,1218,2018-06-06,2722,689,3,,2018-03-12,2018-03-12,0,0,71,29,0,0,86,44,86,44
2020813,20,"חוק הכניסה לישראל (תיקון מס' 31), התשע""ח-2018",,935,ועדת הפנים והגנת הסביבה,"הפנים, המשפטים",False,False,1156,2018-05-23,2719,668,2,,2017-08-02,2017-08-02,82,1,197,155,0,0,294,171,294,171
2066796,20,"חוק לתיקון דיני הבחירות לרשויות המקומיות, התשע""ח-2018",משרד הפנים,935,ועדת הפנים והגנת הסביבה,הפנים,False,False,1217,2018-05-23,2720,672,8,,2018-03-12,2018-03-12,0,0,50,8,13,13,72,30,72,30
2024675,20,"חוק אמנות הבנקים הבין-לאומיים לפיתוח (תיקוני חקיקה), התשע""ח-2018",,922,ועדת הכספים,"האוצר, הממשלה",False,False,1179,2018-05-21,2718,664,1,,2017-12-11,2017-12-11,42,42,105,63,0,0,161,119,161,119
2065778,20,"חוק הרשות הלאומית לתרבות היידיש (תיקון מס' 2), התשע""ח-2018",,933,"ועדת החינוך, התרבות והספורט",התרבות והספורט ,False,False,1197,2018-05-21,2718,665,1,,2018-02-19,2018-02-19,7,7,63,21,0,0,91,49,91,49
2065780,20,"חוק הרשות הלאומית לתרבות הלאדינו (תיקון מס' 2), התשע""ח-2018",,933,"ועדת החינוך, התרבות והספורט",התרבות והספורט ,False,False,1198,2018-05-21,2718,666,2,,2018-02-19,2018-02-19,7,7,63,21,0,0,91,49,91,49
2015886,20,"חוק רואי חשבון (תיקון מס' 9), התשע""ח-2018",,932,"ועדת החוקה, חוק ומשפט",המשפטים,False,False,1128,2018-05-13,2716,640,20,,2017-03-20,2017-03-20,2,2,319,193,36,36,419,251,419,251
553915,20,"חוק בתי המשפט (תיקון מס' 94), התשע""ח-2018",,932,"ועדת החוקה, חוק ומשפט",המשפטים,False,False,873,2018-05-13,2717,660,0.5,"more then 1 bill in page, split num pages between them",2014-06-16,2014-06-16,21,21,1213,656,131,131,1427,828,1427,828
2025749,20,חוק-יסוד: הממשלה (תיקון מס' 6),משרד ראש הממשלה,2057,"הוועדה המשותפת לוועדת החוץ והביטחון ולוועדת החוקה להצ""ח יסוד: הממשלה (תיקון מס' 5) (סמכויות לעניין פתיחה במלחמה או נקיטת פעולה צבאית משמעותית) (מ/1184) הצ""ח הממשלה (תיקון מס' 12) (אצילת סמכות לוועדת השרים לענייני ביטחון לאומי), התשע""ח-2018 (מ/1184",,False,False,1184,2018-05-02,2715,636,0.5,"more then 1 bill in page, split num pages between them",2018-01-01,2018-01-01,21,21,48,48,50,8,121,79,121,79
2025750,20,"חוק הממשלה (תיקון מס' 12), התשע""ח-2018",,2057,"הוועדה המשותפת לוועדת החוץ והביטחון ולוועדת החוקה להצ""ח יסוד: הממשלה (תיקון מס' 5) (סמכויות לעניין פתיחה במלחמה או נקיטת פעולה צבאית משמעותית) (מ/1184) הצ""ח הממשלה (תיקון מס' 12) (אצילת סמכות לוועדת השרים לענייני ביטחון לאומי), התשע""ח-2018 (מ/1184",הממשלה,False,False,1184,2018-05-02,2715,637,1,,2018-01-01,2018-01-01,21,21,48,48,50,8,121,79,121,79
2065303,20,"חוק התקציב לשנת הכספים 2019, התשע""ח-2018",,922,ועדת הכספים,,False,False,1195,2018-04-11,2714,545,91,,2018-01-24,2018-02-11,2,2,-20,-20,47,47,59,35,77,53
2065304,20,"חוק התכנית הכלכלית (תיקוני חקיקה ליישום המדיניות הכלכלית לשנת התקציב 2019), התשע""ח-2018 ",,922,ועדת הכספים,"הכלכלה והתעשייה, האוצר, התקשורת, המשפטים, החינוך, התחבורה והבטיחות בדרכים , הפנים, לביטחון הפנים",False,False,1196,2018-03-22,2712,454,56,,2017-12-18,2018-01-31,0,0,20,20,3,3,50,46,94,90
2065305,20,"חוק ההתייעלות הכלכלית (תיקוני חקיקה להשגת יעדי התקציב לשנת התקציב 2019), התשע""ח-2018 ",משרד האוצר,922,ועדת הכספים,"העבודה, הרווחה והשירותים החברתיים, הביטחון, האוצר, התקשורת, המשפטים, הבריאות, החינוך, התחבורה והבטיחות בדרכים , התרבות והספורט , הפנים",True,False,1196,2018-03-22,2713,510,35,,2017-06-26,2018-01-03,0,0,5,5,6,6,78,74,269,181
2019860,20,"חוק חסימת מספר טלפון לשם מניעת ביצוע עבירות, התשע""ח-2018",,932,"ועדת החוקה, חוק ומשפט",לביטחון הפנים,False,False,1147,2018-03-19,2711,444,10,,2017-01-23,2017-02-01,0,0,226,142,0,0,411,284,420,293
568297,20,"חוק לצמצום השימוש במזומן, התשע""ח-2018",משרד האוצר,2053,"הוועדה המשותפת לוועדת החוקה, חוק ומשפט ולוועדת הכספים לדיון בהצעת החוק לצמצום השימוש במזומן, התשע""ה-2015 (מ/945)","הכלכלה והתעשייה, העבודה, הרווחה והשירותים החברתיים, האוצר, המשפטים",False,False,945,2018-03-18,2710,428,16,,2015-07-22,2015-07-22,5,5,903,574,56,56,970,641,970,641
577400,20,"חוק חדלות פירעון ושיקום כלכלי, התשע""ח-2018",משרד המשפטים,932,"ועדת החוקה, חוק ומשפט","הכלכלה והתעשייה, העבודה, הרווחה והשירותים החברתיים, האוצר, המשפטים, הממשלה",False,False,1027,2018-03-15,2708,310,116,,2015-07-29,2016-02-03,0,0,78,29,644,434,771,512,960,631
2019856,20,"חוק הסדרים במגזר החקלאי המשפחתי (תיקון מס' 13), התשע""ח-2018",,932,"ועדת החוקה, חוק ומשפט","החקלאות ופיתוח הכפר, האוצר",False,False,1145,2018-03-13,2706,286,4,,2017-07-10,2017-07-10,7,7,225,141,0,0,246,162,246,162
2063556,20,"חוק הרשויות המקומיות (מנהל יחידת נוער ומועצת תלמידים ונוער) (תיקון), התשע""ח-2018",,933,"ועדת החינוך, התרבות והספורט",החינוך,False,False,1187,2018-03-13,2704,282,2,,2018-01-08,2018-01-08,22,22,34,34,0,0,64,64,64,64
2063893,20,"חוק שעות עבודה ומנוחה (תיקון מס' 17), התשע""ח-2018",,928,"ועדת העבודה, הרווחה והבריאות","העבודה, הרווחה והשירותים החברתיים",False,False,1190,2018-03-13,2705,284,2,,2016-12-12,2017-02-08,0,0,28,28,0,0,398,272,456,330
2065306,20,"חוק הפחתת הגירעון והגבלת ההוצאה התקציבית (תיקון מס' 17), התשע""ח-2018 ",,922,ועדת הכספים,האוצר,False,True,1196,2018-03-13,2703,280,2,,2018-02-11,2018-02-11,2,2,13,13,0,0,30,30,30,30
2066031,20,"חוק המאבק בטרור (תיקון מס' 3), התשע""ח-2018",משרד המשפטים,935,ועדת הפנים והגנת הסביבה,"הביטחון, לביטחון הפנים, המשפטים",False,False,1201,2018-03-13,2707,292,2,,2017-12-04,2018-01-24,0,0,8,8,0,0,48,48,99,99
2020412,20,"חוק לתיקון פקודת המכס (מס' 28), התשע""ח-2018",,922,ועדת הכספים,"הכלכלה והתעשייה, האוצר, הבריאות",False,False,1150,2018-03-12,2702,256,24,,2017-07-19,2017-07-19,5,5,191,107,6,6,236,152,236,152
2023918,20,"חוק לתיקון פקודת המשטרה (מס' 34), התשע""ח-2018",,935,ועדת הפנים והגנת הסביבה,"העבודה, הרווחה והשירותים החברתיים, הביטחון, התקשורת, הבריאות, המשפטים, הפנים, לביטחון הפנים, ראש הממשלה",False,False,1169,2018-03-12,2701,252,4,,2017-11-27,2017-11-27,49,49,44,44,0,0,105,105,105,105
2025534,20,"חוק התכנון והבנייה (תיקון מס' 122), התשע""ח-2018",,935,ועדת הפנים והגנת הסביבה,האוצר,False,False,1148,2018-03-12,2700,244,8,,2017-07-17,2017-07-17,7,7,210,126,7,7,238,154,238,154
2063209,20,"חוק למניעת הפצה ומימון של נשק להשמדה המונית, התשע""ח-2018",,929,ועדת החוץ והביטחון,"הכלכלה והתעשייה, האוצר, המשפטים",False,False,1186,2018-03-11,2699,232,12,,2018-01-01,2018-01-01,21,21,34,34,3,3,69,69,69,69
2064229,20,"חוק הדיור הציבורי (זכויות רכישה) (תיקון מס' 9), התשע""ח-2018",,926,ועדת הכלכלה,הבינוי והשיכון,False,False,1191,2018-03-11,2698,230,2,,2018-01-22,2018-01-22,8,8,21,21,0,0,48,48,48,48
2066200,20,"חוק הכניסה לישראל (תיקון מס' 30), התשע""ח-2018",,935,ועדת הפנים והגנת הסביבה,"הפנים, המשפטים",False,False,1204,2018-03-11,2698,228,1,,2017-11-13,2018-01-03,0,0,2,2,5,5,67,67,118,118
2064313,20,"חוק הכניסה לישראל (תיקון מס' 29 והוראות שעה), התשע""ח-2018",,935,ועדת הפנים והגנת הסביבה,"הפנים, המשפטים",False,False,1193,2018-03-08,2697,220,4,,2018-01-22,2018-01-22,7,7,16,16,11,11,45,45,45,45
2064242,20,"חוק חתימה אלקטרונית (תיקון מס' 3), התשע""ח-2018",משרד המשפטים,931,ועדת המדע והטכנולוגיה,"הפנים, האוצר, המשפטים",False,False,1192,2018-02-28,2696,212,3,,2018-01-22,2018-01-22,8,8,7,7,0,0,37,37,37,37
2063695,20,"חוק התקנים (תיקון מס' 13), התשע""ח-2018",משרד הכלכלה,952,"הוועדה המיוחדת לדיון בהצעות חוק הבאות:הפיקוח על שירותים פיננסיים מוסדרים (הוראת שעה) (פ/5388),עבודת נשים-תקופת הלידה וההורות(השתתפות בעלות מעון יום ו-הסטודנטיות)",הכלכלה והתעשייה,False,False,1188,2018-02-21,2693,184,8,,2018-01-10,2018-01-10,5,5,22,22,6,6,42,42,42,42
2015883,20,"חוק ההוצאה לפועל (תיקון מס' 55), התשע""ח-2018",,932,"ועדת החוקה, חוק ומשפט",המשפטים,False,False,1124,2018-02-15,2692,172,4,,2017-03-20,2017-03-20,2,2,272,146,42,42,332,206,332,206
