מזהה ייחודי להצעות חוק,המספר של הצעת החוק הממשלתית,סטטוס הצעת החוק הממשלתית,מספר הכנסת,האם הוחל על הצעת החוק דין רציפות,סיבת העצירה,סדרת הפרסום לקריאה הראשונה,הועדה המטפלת,שם ההצעה,מזהה ההצעה שאליה מוזגה ההצעה,מזהה ההצעה לפיצוול,שם מוצע לפיצול,תיאור סוגי המסמכים הקשורים,סוגי שינויים לשם ההצעה
2066200,1204,התקבלה בקריאה שלישית,20,,,,ועדת הפנים והגנת הסביבה,"חוק הכניסה לישראל (תיקון מס' 30), התשע""ח-2018",,,,הצעת חוק לקריאה הראשונה | הצעת חוק לקריאה השניה והשלישית - פונצ  בננה | הצעת חוק לקריאה השנייה והשלישית | חוק - נוסח לא רשמי | חוק - פרסום ברשומות,לחוק שהתקבל | לקריאה הראשונה | לקריאה השנייה והשלישית
2066031,1201,התקבלה בקריאה שלישית,20,,,,ועדת הפנים והגנת הסביבה,"חוק המאבק בטרור (תיקון מס' 3), התשע""ח-2018",,2066694,,הצעת חוק לקריאה הראשונה | הצעת חוק לקריאה השניה והשלישית - פונצ  בננה | הצעת חוק לקריאה השנייה והשלישית | חוק - נוסח לא רשמי | חוק - פרסום ברשומות,לחוק שהתקבל | לקריאה הראשונה
2065306,1196,התקבלה בקריאה שלישית,20,,,,ועדת הכספים,"חוק הפחתת הגירעון והגבלת ההוצאה התקציבית (תיקון מס' 17), התשע""ח-2018 ",,,,הצעת חוק לקריאה הראשונה | הצעת חוק לקריאה השניה והשלישית - פונצ  בננה | הצעת חוק לקריאה השנייה והשלישית | חוק - נוסח לא רשמי | חוק - פרסום ברשומות,לחוק שהתקבל | לקריאה הראשונה | לקריאה השנייה והשלישית
2065305,1196,התקבלה בקריאה שלישית,20,,,,ועדת הכספים,"חוק ההתייעלות הכלכלית (תיקוני חקיקה להשגת יעדי התקציב לשנת התקציב 2019), התשע""ח-2018 ",,2065624,,הצעת חוק לקריאה הראשונה | הצעת חוק לקריאה השניה והשלישית - לוח תיקונים-פונצ בננה | הצעת חוק לקריאה השניה והשלישית - פונצ  בננה | הצעת חוק לקריאה השנייה והשלישית | הצעת חוק לקריאה השנייה והשלישית - לוח תיקונים | חוק - נוסח לא רשמי | חוק - פרסום ברשומות,לחוק שהתקבל | לקריאה הראשונה
2065305,1196,התקבלה בקריאה שלישית,20,,,,ועדת הכספים,"חוק ההתייעלות הכלכלית (תיקוני חקיקה להשגת יעדי התקציב לשנת התקציב 2019), התשע""ח-2018 ",,2065623,,הצעת חוק לקריאה הראשונה | הצעת חוק לקריאה השניה והשלישית - לוח תיקונים-פונצ בננה | הצעת חוק לקריאה השניה והשלישית - פונצ  בננה | הצעת חוק לקריאה השנייה והשלישית | הצעת חוק לקריאה השנייה והשלישית - לוח תיקונים | חוק - נוסח לא רשמי | חוק - פרסום ברשומות,לחוק שהתקבל | לקריאה הראשונה
2065305,1196,התקבלה בקריאה שלישית,20,,,,ועדת הכספים,"חוק ההתייעלות הכלכלית (תיקוני חקיקה להשגת יעדי התקציב לשנת התקציב 2019), התשע""ח-2018 ",,2065625,,הצעת חוק לקריאה הראשונה | הצעת חוק לקריאה השניה והשלישית - לוח תיקונים-פונצ בננה | הצעת חוק לקריאה השניה והשלישית - פונצ  בננה | הצעת חוק לקריאה השנייה והשלישית | הצעת חוק לקריאה השנייה והשלישית - לוח תיקונים | חוק - נוסח לא רשמי | חוק - פרסום ברשומות,לחוק שהתקבל | לקריאה הראשונה
2065305,1196,התקבלה בקריאה שלישית,20,,,,ועדת הכספים,"חוק ההתייעלות הכלכלית (תיקוני חקיקה להשגת יעדי התקציב לשנת התקציב 2019), התשע""ח-2018 ",,2065622,,הצעת חוק לקריאה הראשונה | הצעת חוק לקריאה השניה והשלישית - לוח תיקונים-פונצ בננה | הצעת חוק לקריאה השניה והשלישית - פונצ  בננה | הצעת חוק לקריאה השנייה והשלישית | הצעת חוק לקריאה השנייה והשלישית - לוח תיקונים | חוק - נוסח לא רשמי | חוק - פרסום ברשומות,לחוק שהתקבל | לקריאה הראשונה
2065305,1196,התקבלה בקריאה שלישית,20,,,,ועדת הכספים,"חוק ההתייעלות הכלכלית (תיקוני חקיקה להשגת יעדי התקציב לשנת התקציב 2019), התשע""ח-2018 ",,2065621,,הצעת חוק לקריאה הראשונה | הצעת חוק לקריאה השניה והשלישית - לוח תיקונים-פונצ בננה | הצעת חוק לקריאה השניה והשלישית - פונצ  בננה | הצעת חוק לקריאה השנייה והשלישית | הצעת חוק לקריאה השנייה והשלישית - לוח תיקונים | חוק - נוסח לא רשמי | חוק - פרסום ברשומות,לחוק שהתקבל | לקריאה הראשונה
2065305,1196,התקבלה בקריאה שלישית,20,,,,ועדת הכספים,"חוק ההתייעלות הכלכלית (תיקוני חקיקה להשגת יעדי התקציב לשנת התקציב 2019), התשע""ח-2018 ",,2065618,,הצעת חוק לקריאה הראשונה | הצעת חוק לקריאה השניה והשלישית - לוח תיקונים-פונצ בננה | הצעת חוק לקריאה השניה והשלישית - פונצ  בננה | הצעת חוק לקריאה השנייה והשלישית | הצעת חוק לקריאה השנייה והשלישית - לוח תיקונים | חוק - נוסח לא רשמי | חוק - פרסום ברשומות,לחוק שהתקבל | לקריאה הראשונה
2065305,1196,התקבלה בקריאה שלישית,20,,,,ועדת הכספים,"חוק ההתייעלות הכלכלית (תיקוני חקיקה להשגת יעדי התקציב לשנת התקציב 2019), התשע""ח-2018 ",,2065617,,הצעת חוק לקריאה הראשונה | הצעת חוק לקריאה השניה והשלישית - לוח תיקונים-פונצ בננה | הצעת חוק לקריאה השניה והשלישית - פונצ  בננה | הצעת חוק לקריאה השנייה והשלישית | הצעת חוק לקריאה השנייה והשלישית - לוח תיקונים | חוק - נוסח לא רשמי | חוק - פרסום ברשומות,לחוק שהתקבל | לקריאה הראשונה
