מזהה ייחודי של הצעות חוק,מספר הכנסת,שם החוק שהתקבל,המשרד היוזם לפי התזכיר,קוד הועדה שדנה בהצעת החוק,שם הועדה,שם הועדה - מתוקן,ועדה קבועה?,השרים הממונים,סיווג - חוקי הסדרים,סיווג - תקציב,מספר מ’ של הצעת החוק,תאריך פרסום החוק בספר החוקים,מספר חוברת,מספר עמוד,מספר עמודי חקיקה,"האם חוק הסדרים ""אמיתי""?"
2007975,20,"חוק התכנית הכלכלית (תיקוני חקיקה ליישום המדיניות הכלכלית לשנות התקציב 2017 ו-2018), התשע""ז-2016",,922,ועדת הכספים,הכספים,1,"הכלכלה והתעשייה, האוצר, התקשורת, המשפטים, הבריאות, התחבורה והבטיחות בדרכים , הפנים, האנרגיה, יושב ראש הכנסת",True,False,1083,2016-12-29,2591,49,168,1
2007976,20,"חוק ההתייעלות הכלכלית (תיקוני חקיקה להשגת יעדי התקציב לשנות התקציב 2017 ו-2018), התשע""ז-2016",,922,ועדת הכספים,הכספים,1,"הכלכלה והתעשייה, העבודה, הרווחה והשירותים החברתיים, הביטחון, האוצר, המשפטים, הבריאות, החינוך, התחבורה והבטיחות בדרכים , התרבות והספורט , הפנים, לביטחון הפנים, יושב ראש הכנסת",True,False,1083,2016-12-29,2592,217,103,1
568878,20,"חוק התכנית הכלכלית (תיקוני חקיקה ליישום המדיניות הכלכלית לשנות התקציב 2015 ו-2016), התשע""ו-2015",,922,ועדת הכספים,הכספים,1,"הכלכלה והתעשייה, העבודה, הרווחה והשירותים החברתיים, הביטחון, האוצר, להגנת הסביבה, המשפטים, הבריאות, הפנים, האנרגיה, לביטחון הפנים, החקלאות ופיתוח הכפר",True,False,951,2015-11-30,2510,39,180,1
568879,20,"חוק ההתייעלות הכלכלית (תיקוני חקיקה להשגת יעדי התקציב לשנות התקציב 2015 ו-2016), התשע""ו-2015",,922,ועדת הכספים,הכספים,1,"הכלכלה והתעשייה, העבודה, הרווחה והשירותים החברתיים, האוצר, הבינוי והשיכון, להגנת הסביבה, הבריאות, החינוך, התחבורה והבטיחות בדרכים , הפנים, האנרגיה",True,True,951,2015-11-30,2511,219,43,1
484923,19,"חוק לשינוי סדרי עדיפויות לאומיים (תיקוני חקיקה להשגת יעדי התקציב לשנים 2013 ו-2014), התשע""ג-2013",משרד האוצר,846,ועדת הכספים,הכספים,1,"הכלכלה והתעשייה, העבודה, הרווחה והשירותים החברתיים, האוצר, התקשורת, המשפטים, החינוך, התרבות והספורט , האנרגיה, ראש הממשלה",True,True,768,2013-08-05,2405,116,84,1
474392,18,"חוק לצמצום הגירעון ולשינוי נטל המס (תיקוני חקיקה), התשע""ב-2012",,653,הכספים,הכספים,1,"העבודה, הרווחה והשירותים החברתיים, האוצר",True,False,723,2012-08-13,2382,754,4,1
391215,18,"חוק המדיניות הכלכלית לשנים 2011 ו-2012 (תיקוני חקיקה), התשע""א-2011",,653,הכספים,הכספים,1,"הכלכלה והתעשייה, העבודה, הרווחה והשירותים החברתיים, הביטחון, הבינוי והשיכון, האוצר, התקשורת, הבריאות, המשפטים, החינוך, הפנים, האנרגיה, ראש הממשלה, התפוצות",True,True,541,2011-01-06,2271,138,56,1
325830,18,"חוק ההתייעלות הכלכלית (תיקוני חקיקה ליישום התכנית הכלכלית לשנים 2009 ו-2010), התשס""ט-2009",,652,הכנסת,הכנסת,1,"הכלכלה והתעשייה, העבודה, הרווחה והשירותים החברתיים, הביטחון, האוצר, הבינוי והשיכון, להגנת הסביבה, לשוויון חברתי, התקשורת, הבריאות, המשפטים, החינוך, התחבורה והבטיחות בדרכים , הפנים, האנרגיה, ראש הממשלה, החקלאות ופיתוח הכפר",True,True,436,2009-07-23,2203,157,127,1
262800,17,"חוק ההסדרים במשק המדינה (תיקוני חקיקה להשגת יעדי התקציב והמדיניות הכלכלית לשנת הכספים 2008), התשס""ח-2008",,196,הכספים,הכספים,1,"הכלכלה והתעשייה, העבודה, הרווחה והשירותים החברתיים, הביטחון, האוצר, הבריאות, החינוך, הפנים",True,True,335,2008-01-01,2125,104,20,1
178389,17,"חוק הסדרים במשק המדינה (תיקוני חקיקה להשגת יעדי התקציב והמדיניות הכלכלית לשנת הכספים 2007), התשס""ז-2007",,190,הכנסת,הכנסת,1,"הכלכלה והתעשייה, העבודה, הרווחה והשירותים החברתיים, האוצר, להגנת הסביבה, התקשורת, המשפטים, הבריאות, האנרגיה, הפנים, לביטחון הפנים, החקלאות ופיתוח הכפר",True,True,260,2007-01-11,2077,52,32,1
131749,17,"חוק הסדרים במשק המדינה (תיקוני חקיקה להשגת יעדי התקציב והמדיניות הכלכלית לשנת הכספים 2006), התשס""ו-2006",,190,הכנסת,הכנסת,1,"הכלכלה והתעשייה, העבודה, הרווחה והשירותים החברתיים, הבינוי והשיכון, האוצר, להגנת הסביבה, התקשורת, המשפטים, הבריאות, החינוך, התחבורה והבטיחות בדרכים , התיירות, האנרגיה, הפנים, לביטחון הפנים, החקלאות ופיתוח הכפר",True,False,236,2006-06-15,2057,306,56,1
320854,16,"חוק המדיניות הכלכלית לשנת הכספים 2005 (תיקוני חקיקה), התשס""ה-2005",,,,#N/A,0,"הכלכלה והתעשייה, העבודה, הרווחה והשירותים החברתיים, הביטחון, האוצר, להגנת הסביבה, התקשורת, המשפטים, הבריאות, החינוך, התחבורה והבטיחות בדרכים , הפנים, האנרגיה, החקלאות ופיתוח הכפר",True,True,143,2005-04-11,1997,346,80,1
16633,16,"חוק המדיניות הכלכלית לשנת הכספים 2004 (תיקוני חקיקה), התשס""ד-2004",,21,הכספים,הכספים,1,"הכלכלה והתעשייה, העבודה, הרווחה והשירותים החברתיים, הביטחון, הבינוי והשיכון, האוצר, להגנת הסביבה, לשוויון חברתי, התקשורת, הבריאות, המשפטים, החינוך, הפנים, האנרגיה, לשירותי דת",True,True,64,2004-01-18,1920,70,80,1
